Page or Account URL,List,nces_id,agency_name,state,total_students
https:/www.facebook.com/omahapublicschools,100-largest-school-districts,3174820,OMAHA PUBLIC SCHOOLS,NEBRASKA,53194
https:/www.facebook.com/planoisd,100-largest-school-districts,4835100,PLANO ISD,TEXAS,53057
https:/www.facebook.com/cnusd,100-largest-school-districts,609850,CORONA-NORCO UNIFIED,CALIFORNIA,53002
https:/www.facebook.com/sfunified,100-largest-school-districts,634410,SAN FRANCISCO UNIFIED,CALIFORNIA,52498
https:/www.facebook.com/atlantapublicschools,100-largest-school-districts,1300120,ATLANTA PUBLIC SCHOOLS,GEORGIA,52377
https:/www.facebook.com/lewisvilleisd,100-largest-school-districts,4827300,LEWISVILLE ISD,TEXAS,52218
https:/www.facebook.com/henricocountypublicschools,100-largest-school-districts,5101890,HENRICO CO PBLC SCHS,VIRGINIA,51523
https:/www.facebook.com/bostonschools,100-largest-school-districts,2502790,BOSTON,MASSACHUSETTS,51433
https:/www.facebook.com/cumberlandcosch,100-largest-school-districts,3700011,CUMBERLAND COUNTY SCHOOLS,NORTH CAROLINA,50879
https:/www.facebook.com/rrisd,100-largest-school-districts,4838080,ROUND ROCK ISD,TEXAS,50387
https:/www.facebook.com/groups,100-largest-school-districts,2601103,DETROIT PUBLIC SCHOOLS COMMUNITY DISTRICT,MICHIGAN,49931
https:/www.facebook.com/wichitapublicschools,100-largest-school-districts,2012990,WICHITA,KANSAS,49885
https:/www.facebook.com/ccsdconnects,100-largest-school-districts,4501440,CHARLESTON 01,SOUTH CAROLINA,49769
https:/www.facebook.com/dcpublicschools,100-largest-school-districts,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,DISTRICT OF COLUMBIA,49489
https:/www.facebook.com/fcschools,100-largest-school-districts,1302220,FORSYTH COUNTY,GEORGIA,49346
https:/www.facebook.com/wemanatee,100-largest-school-districts,1201230,MANATEE,FLORIDA,49301
https:/www.facebook.com/sanbernardinousd,100-largest-school-districts,634170,SAN BERNARDINO CITY UNIFIED,CALIFORNIA,49005
https:/www.facebook.com/columbuscityschools,100-largest-school-districts,3904380,COLUMBUS CITY SCHOOL DISTRICT,OHIO,48925
https:/www.facebook.com/sanantonioisd,100-largest-school-districts,4838730,SAN ANTONIO ISD,TEXAS,48745
https:/www.facebook.com/pps.homepage,100-largest-school-districts,4110040,PORTLAND SD 1J,OREGON,48710
